Nitrogen Oxide,Ozone,PM2.5,PM10
20.10229,48.24605,3.337,10.368
20.4102,47.94669,3.811,3.337
36.11374,38.66669,6.208,3.811
38.709,37.16991,7.337,6.208
38.62103,39.31529,3.55,7.337
44.20744,33.17851,1.913,3.55
54.45653,30.18496,1.903,1.913
68.09265,29.73593,1.729,1.903
59.99895,35.42368,3.337,1.729
91.36204,17.36259,4.144,3.337
58.67933,27.14152,4.514,4.144
68.18063,19.25851,7.099,4.514
71.47969,19.20861,8.3,7.099
80.98099,16.96345,9.609,8.3
79.44143,14.41893,7.472,9.609
68.84044,15.56646,7.307,7.472
63.29801,21.70324,7.125,7.307
44.91124,34.6254,7.547,7.125
21.68584,50.44132,7.675,7.547
15.61556,56.62799,7.094,7.675
7.3899,63.91229,6.271,7.094
6.11426,63.91229,5.623,6.271
7.80045,59.60491,6.144,5.623
13.8414,53.28519,7.094,6.144
36.55361,40.51271,4.37,7.094
32.81468,44.20476,5.193,4.37
54.58849,28.33894,6.019,5.193
51.99323,34.67529,5.545,6.019
42.71186,39.2654,5.17,5.545
61.97839,32.18066,5.387,5.17
48.87011,40.5626,5.167,5.387
38.48906,49.99229,5.774,5.167
43.59161,47.2482,7.455,5.774
32.33081,54.23315,6.557,7.455
39.32483,54.78197,7.057,6.557
31.3191,55.18111,6.623,7.057
37.16944,50.04218,5.009,6.623
27.84409,52.93594,3.392,5.009
26.83238,54.43272,2.458,3.392
30.83524,50.14196,1.54,2.458
42.62389,45.30239,1.552,1.54
33.25455,41.51056,2.399,1.552
18.78266,51.43917,2.361,2.399
11.48074,55.82971,2.399,2.361
14.4279,53.78412,2.583,2.399
12.44846,56.42842,2.392,2.583
12.903,56.87745,2.467,2.392
17.06715,50.95687,2.882,2.467
102.35891,1.14753,9.234,2.882
142.03564,1.14753,9.59,9.234
187.47473,1.24731,12.665,9.59
207.9729,0.99785,11.201,12.665
181.36046,1.14753,12.302,11.201
190.94974,1.19742,12.696,12.302
141.1119,0.89807,7.932,12.696
92.32976,4.73979,6.271,7.932
71.96355,26.44303,4.123,6.271
61.97839,28.23916,4.491,4.123
63.12206,26.84217,4.623,4.491
45.57105,33.87701,3.781,4.623
39.14888,39.81422,4.868,3.781
57.84356,32.48002,3.677,4.868
71.91956,17.51227,3.875,3.677
39.98464,28.98754,3.028,3.875
38.22514,29.83572,2.774,3.028
31.14315,33.42798,3.009,2.774
17.68298,46.30024,2.981,3.009
21.33394,42.30884,3.017,2.981
12.27251,53.78412,2.653,3.017
9.28136,58.17466,2.75,2.653
13.0203,51.55558,3.658,2.75
44.1048,31.46554,3.915,3.658
53.97266,14.76818,8.441,3.915
81.33289,2.74409,9.509,8.441
102.62284,1.3471,8.873,9.509
69.41228,10.02839,6.908,8.873
47.1546,23.74883,6.234,6.908
51.3774,22.00259,4.675,6.234
46.27485,25.84432,2.321,4.675
45.21915,27.69034,1.79,2.321
54.28058,26.39313,1.616,1.79
67.2129,23.9484,2.507,1.616
43.72358,33.9269,2.116,2.507
43.15174,35.12432,2.363,2.116
34.1343,35.9226,3.026,2.363
38.53305,33.07873,3.505,3.026
124.52861,5.03914,5.071,3.505
97.1244,2.74409,5.658,5.071
110.76053,1.49678,5.757,5.658
104.29436,1.14753,7.316,5.757
75.43856,1.74624,8.63,7.316
43.37168,6.53592,7.54,8.63
79.30946,0.89807,8.267,7.54
102.88676,0.99785,12.717,8.267
113.6637,1.46351,12.316,12.717
91.31805,1.26394,10.726,12.316
198.42761,1.14753,14.158,10.726
