Ozone,Nitrogen Oxide,PM2.5,PM10
0,44.43759,17.465,20.91
15.04446,32.13077,20.535,24.68
5.25241,73.1923,2.853,4.39
10.16961,66.35703,3.531,6.001
10.7228,65.75832,3.413,5.608
15.25408,62.11616,2.871,4.125
16.08335,62.5153,2.111,3.138
15.52966,67.40477,1.914,3.082
20.67005,65.10971,3.564,6.042
29.95547,54.73207,6.663,14.33
19.84431,62.36563,6.812,13.558
13.38276,69.45036,4.871,9.983
10.84288,71.8452,4.856,8.836
13.44019,69.55015,4.13,8.141
13.55069,70.4981,3.696,6.948
13.49343,72.5437,3.779,6.551
22.61309,63.81251,5.005,8.972
20.67039,65.90799,4.178,7.945
21.3324,62.41552,2.63,4.688
25.80776,55.231,2.31,4.135
11.44157,65.60864,2.994,5.018
12.21374,57.8753,3.26,5.529
7.51721,66.60649,1.917,3.158
10.2828,66.00778,2.068,3.155
0,65.8581,2.812,4.545
8.18459,55.28089,3.703,6.202
7.79188,72.29423,3.182,4.616
28.99846,49.44347,5.175,8.011
40.04552,39.66454,5.852,9.402
43.80712,33.2783,6.563,10.82
49.39228,30.5841,6.846,11.585
32.08681,46.94884,6.723,11.898
44.68421,37.96819,7.015,13.178
28.50048,47.09852,6.082,12.518
18.12363,59.02283,5.169,10.813
15.03511,61.2181,5.477,12.593
12.49168,63.46326,7.055,14.815
12.71509,63.76262,8.737,17.145
13.54623,60.36993,8.178,18.075
16.69588,56.47831,5.696,12.603
23.65441,50.24175,4.92,10.313
28.50942,45.75142,4.936,9.057
19.66755,58.22455,5.035,10.434
16.46033,60.41982,4.365,8.193
19.11132,58.72347,4.096,7.295
18.11654,60.22025,3.803,7.431
9.77788,72.14456,2.918,5.15
14.36253,68.5024,2.472,5.155
0,68.11989,2.6,4.666
3.02108,75.70355,2.255,4.019
29.08821,36.17206,3.772,6.03
22.14058,49.8925,3.221,5.94
25.44731,49.09422,3.571,9.016
33.94809,37.2697,3.691,6.86
34.71832,40.66239,3.841,7.439
45.04242,26.94195,3.551,6.371
39.63101,38.81637,3.207,5.784
30.30805,49.49336,2.502,5.201
20.81596,56.42842,2.872,6.649
18.44434,58.17466,2.818,7.028
13.0932,62.31573,2.693,5.821
12.5984,62.11616,2.66,5.4
15.30384,60.5695,2.146,5.272
16.02227,58.72347,1.736,4.173
21.92679,54.68218,2.152,4.747
21.92662,56.92734,1.576,4.216
16.90219,62.96434,1.852,6.143
10.54925,71.49595,2.375,6.498
9.88245,73.74112,8.386,13.652
9.05449,76.08606,12.076,19.74
5.3012,81.47445,6.718,12.414
7.72869,78.83015,2.136,3.819
0,77.69925,1.081,1.53
3.68401,76.83445,1.286,1.79
34.31549,37.56905,5.743,10.104
44.58358,30.13507,5.58,8.966
30.50724,44.40433,5.258,8.638
22.01152,54.5824,5.62,9.629
27.41784,53.03573,5.8,9.789
29.7877,49.64304,6.045,11.052
33.75869,47.8968,5.775,11.975
21.23802,62.16606,4.598,10.459
28.2521,54.68218,5.106,10.395
19.53917,59.72132,4.564,9.661
17.78024,59.27229,4.673,9.854
17.06597,58.87315,4.521,8.403
14.80182,59.97079,4.557,9.399
26.90508,50.84046,4.815,8.881
73.27127,14.11958,5.914,10.423
86.63299,3.49248,5.23,10.973
68.8801,10.47743,4.588,10.156
78.58656,2.14538,4.842,9.532
54.62629,15.01764,4.527,9.115
37.18258,30.03529,4.649,8.789
25.98149,39.71443,4.669,8.603
27.80051,40.51271,4.423,8.843
0,55.94612,3.868,7.001
29.71434,39.0492,3.454,6.166
50.30438,17.36259,10.163,11.448
32.76264,37.02024,7.63,8.819
42.02839,29.18711,6.856,8.129
24.70935,49.64304,7.008,7.753
30.1674,39.914,9.456,10.808
32.86776,37.31959,6.753,7.761
41.47514,31.48217,5.803,6.974
47.65027,30.18496,4.737,5.968
65.86539,16.81377,6.265,8.139
74.00282,13.42108,7.486,9.233
65.50533,21.75313,7.03,8.957
61.60343,25.99399,5.115,7.526
65.12154,24.69679,4.237,7.614
71.98131,18.36044,4.436,9.411
70.80126,16.51442,4.298,11.237
43.74444,38.06798,2.85,5.266
49.7054,34.07658,2.888,5.275
52.552,23.59915,3.993,7.055
42.8388,27.39098,4.53,8.853
34.23397,34.12647,4.797,9.339
46.27671,16.01549,5.714,10.138
47.74755,21.10453,5.893,10.136
0,44.70368,5.945,11.208
28.81358,37.51916,6.197,11.268
13.44633,46.74927,1.229,2.028
20.49814,41.06153,1.15,1.589
20.99289,40.86196,1.676,2.372
46.37346,14.51872,6.025,7.524
71.79903,1.94581,7.037,8.366
69.11749,4.24086,6.37,7.428
55.0334,12.97205,4.786,5.59
53.16971,17.06324,3.975,4.696
50.89126,17.91141,5.713,6.621
46.80918,20.25636,5.984,7.019
42.44772,25.34539,5.056,5.854
42.50521,26.84217,5.891,6.906
30.81429,29.88561,8.573,9.548
32.03117,24.84647,10.406,11.635
27.39565,28.78797,11.262,12.593
51.64972,7.43398,13.335,15.358
56.59451,3.49248,13.033,14.898
53.71989,3.54237,13.691,15.94
41.90131,3.9914,14.382,16.293
27.44816,10.02839,13.769,15.64
26.00871,19.00904,13.809,15.615
28.65442,27.69034,13.219,14.723
0,36.7874,11.031,12.738
30.12488,32.13077,10.564,12.298
27.31312,45.45207,4.925,8.882
60.29234,17.9613,6.213,10.152
69.09099,8.6813,7.02,10.905
79.03838,3.84172,7.03,11.868
61.38171,12.32345,5.109,9.076
51.76516,19.65765,6.272,11.705
46.65203,29.73593,5.608,12.056
31.4697,45.60175,4.742,12.86
31.19598,46.49981,5.26,13.86
22.43569,52.78627,6.751,13.463
21.11646,52.73637,8.196,14.565
21.67096,47.54755,7.649,14.675
43.23043,24.04819,9.199,17.445
58.61216,12.82237,9.788,16.925
63.06207,8.53162,9.2,15.398
60.84632,9.3299,8.792,16.688
61.96787,9.28001,8.839,15.723
45.55147,16.56431,9.321,15.685
31.99099,23.24991,7.557,12.163
16.52032,43.45637,7.342,11.52
11.73131,45.65164,5.853,8.924
12.33604,46.5996,4.034,5.817
0,52.95257,3.839,5.486
12.33736,46.23372,3.62,4.806
13.49035,61.11831,7.68,13.5
42.57566,29.83572,4.864,7.016
52.4721,20.40603,3.671,5.215
40.53228,29.18711,2.825,4.404
32.59146,37.61895,2.125,2.999
38.98617,32.48002,2.392,3.099
37.77398,29.38668,1.763,2.165
39.04965,28.5884,2.127,2.88
37.78348,30.28475,2.178,2.917
35.85204,32.28045,1.911,3.199
31.22302,33.02884,1.373,1.884
31.28149,31.88131,2.144,2.928
39.21541,23.59915,4.133,5.544
40.25666,26.89206,3.031,4.184
37.88074,33.57765,1.786,2.377
30.43787,44.20476,2.932,4.505
35.93773,43.75572,5.275,7.811
26.30542,55.8796,4.665,7.939
18.38049,60.02068,3.437,6.47
12.38475,64.21165,3.402,6.94
10.95299,64.5609,2.996,5.39
13.81253,62.46541,2.819,4.846
0,59.60491,3.4,6.033
17.31675,53.08562,4.315,9.342
19.30587,57.92519,8.3,14.7
58.85932,24.29765,7.34,12.458
56.86466,27.14152,5.878,9.645
54.75101,31.88131,5.094,8.624
47.20671,39.81422,3.751,6.493
50.61944,37.81852,2.656,4.984
